CÓDIGO,CLIENTE,REDE,SUBREDE,LOGRADOURO,NUMERO,BAIRRO,CIDADE,ENDEREÇO,A00_LAT,A00_LONG
862,CENTERBOX - PRQ GENIBAU,CENTERBOX,,RUA JOSE MENDONCA,690,PARQUE GENIBAU,FORTALEZA,"RUA JOSE MENDONCA, 690, PARQUE GENIBAU, FORTALEZA",-3.7566112,-38.6024185
870,MARIA BENEDITA MATIAS,,,RUA VALDOMIRO BARBOSA DE OLIVEIRA,2,CENTRO,GENERAL SAMPAIO,"RUA VALDOMIRO BARBOSA DE OLIVEIRA, 2, CENTRO, GENERAL SAMPAIO",-4.0506821,-39.4490475
871,MARCADINHO VALTER,,,RUA DA COELCE,SN,CENTRO,SAO LUIS DO CURU,"RUA DA COELCE, SN, CENTRO, SAO LUIS DO CURU",-3.6689895,-39.2410403
872,MERCADINHO SANTA INES,,,RUA JOSE DE OLIVEIRA PINHO,45,SANTA INES,PENTECOSTE,"RUA JOSE DE OLIVEIRA PINHO, 45, SANTA INES, PENTECOSTE",-3.7854347,-39.2627133
874,COMETA (JOAO CARLOS),COMETA,,RUA GOVERNADOR JOAO CARLOS,858,SERRINHA,FORTALEZA,"RUA GOVERNADOR JOAO CARLOS, 858, SERRINHA, FORTALEZA",-3.782635,-38.5538401
883,MERCADINHO O LOURO,,,ESPLANDA DA FAZENDA BOM,890,SERRINHA,TRAIRI,"ESPLANDA DA FAZENDA BOM, 890, SERRINHA, TRAIRI",-3.2857885,-39.257595
884,SUPER PORTUGAL - CIDADE DOS FUNC,REDE PARCERIA,SUPER PORTUGAL,AVENIDA JOSE LEON,1852,CIDADE DOS FUNCIONARIOS,FORTALEZA,"AVENIDA JOSE LEON, 1852, CIDADE DOS FUNCIONARIOS, FORTALEZA",-3.7899059,-38.495258
887,SUPERMERCADO GLAUBER,,SUPERMERCADO GLAUBER,AVENIDA CORONEL NECO MARTINS,173,CENTRO,SAO GONCALO DO AMARANTE,"AVENIDA CORONEL NECO MARTINS, 173, CENTRO, SAO GONCALO DO AMARANTE",-3.6105829,-38.9690799
892,MERCADINHO O CAPITAOZINHO,,,RUA VICENTE SIEBRA,2270,VIOLETE,ITAPIPOCA,"RUA VICENTE SIEBRA, 2270, VIOLETE, ITAPIPOCA",-3.4866601,-39.5746966
896,SUPERMERCADO SEBASTIANA PATRICOLIA,,,RUA FRANCISCO SALES,232,CENTRO,TURURU,"RUA FRANCISCO SALES, 232, CENTRO, TURURU",-3.5997067,-39.4351291
897,SUPERMERCADO LUANDA - LJ 01,,LUANDA MERCADINHO,RUA LUIS BRAGA,53,CENTRO,PARAIPABA,"RUA LUIS BRAGA, 53, CENTRO, PARAIPABA",-3.4382439,-39.1447423
898,SANTA EDWIGES - JD GUANABARA - LJ 01,REDE UNIFORCA,SANTA EDWIRGENS,AVENIDA HILDEBRANDO DE MELO,1849,QUINTINO CUNHA,FORTALEZA,"AVENIDA HILDEBRANDO DE MELO, 1849, QUINTINO CUNHA, FORTALEZA",-3.7249377,-38.5890115
904,HUGO,,,RUA PRESMILAU CAMERINO,468,COQUEIRO,ITAPIPOCA,"RUA PRESMILAU CAMERINO, 468, COQUEIRO, ITAPIPOCA",-3.494152,-39.5783687
910,MERCADINHO RAUL,,,RUA LIDIA CORDEIRO,SN,BOA ESPERANCA,TRAIRI,"RUA LIDIA CORDEIRO, SN, BOA ESPERANCA, TRAIRI",-3.2701146,-39.2633691
914,GERSON RODRIGUES BRAGA,,,RUA CAPITAO JOSE TELES,10,CENTRO,PARACURU,"RUA CAPITAO JOSE TELES, 10, CENTRO, PARACURU",-3.4088326,-39.0269646
931,MERCADINHO RAIMUNDINHO,REDE INTEGRADA,SUPER PRECO BOM,AVENIDA DOM ALMEIDA LUSTOSA,2772,JUREMA,CAUCAIA,"AVENIDA DOM ALMEIDA LUSTOSA, 2772, JUREMA, CAUCAIA",-3.766361,-38.6211393
938,PANIFICADORA M & M,,,AVENIDA MARIA MOREIRA,107,CENTRO,PARAIPABA,"AVENIDA MARIA MOREIRA, 107, CENTRO, PARAIPABA",-3.4391156,-39.1485427
942,COMETA (ILDEFONSO ALBANO),COMETA,,RUA ILDEFONSO ALBANO,2260,JOAQUIM TAVORA,FORTALEZA,"RUA ILDEFONSO ALBANO, 2260, JOAQUIM TAVORA, FORTALEZA",-3.7407932,-38.516113
947,MERCANTIL MATEUS E LILIANE,,,AVENIDA PAULO BASTOS,1032,CENTRO,IRAUCUBA,"AVENIDA PAULO BASTOS, 1032, CENTRO, IRAUCUBA",-3.7465951,-39.7828616
950,COMETA (VILA VELHA),COMETA,,RUA PEDRO SAMPAIO,778,VILA VELHA,FORTALEZA,"RUA PEDRO SAMPAIO, 778, VILA VELHA, FORTALEZA",-3.7233183,-38.5963513
954,COMETA (JOAQUIM FELICIO),COMETA,,RUA JOAQUIM FELICIO,809,MESSEJANA,FORTALEZA,"RUA JOAQUIM FELICIO, 809, MESSEJANA, FORTALEZA",-3.8301305,-38.4875383
958,COMETA (PINTO MADEIRA),COMETA,,RUA PINTO MADEIRA,1340,CENTRO,FORTALEZA,"RUA PINTO MADEIRA, 1340, CENTRO, FORTALEZA",-3.7338116,-38.5136501
962,NEGO,,,RUA JOSE SEVERINO FILHO,16,NOSSA SRA DO ROSARIO,GENERAL SAMPAIO,"RUA JOSE SEVERINO FILHO, 16, NOSSA SRA DO ROSARIO, GENERAL SAMPAIO",-4.0531249,-39.4540368
967,COMETA (J DA PENHA),COMETA,,RUA J DA PENHA,709,CENTRO,FORTALEZA,"RUA J DA PENHA, 709, CENTRO, FORTALEZA",-3.7374817,-38.5204755
972,CENTERBOX - CONCEITO,CENTERBOX,,RUA DR GILBERTO STUDART,155,COCO,FORTALEZA,"RUA DR GILBERTO STUDART, 155, COCO, FORTALEZA",-3.7424091,-38.4867581
976,COMETA (HENRIQUE JORGE),COMETA,,AVENIDA SEN FERNANDES TAVORA,1526,HENRIQUE JORGE,FORTALEZA,"AVENIDA SEN FERNANDES TAVORA, 1526, HENRIQUE JORGE, FORTALEZA",-3.7598094,-38.5861946
977,PADARIA MESA FARTA,,,RUA PADRE SINVAL FACUNDO,999,VILA NOVA,PENTECOSTE,"RUA PADRE SINVAL FACUNDO, 999, VILA NOVA, PENTECOSTE",-3.7907037,-39.2628486
983,MERCADINHO O RICARDO,,,RUA CAMPO VELHO,18,SERROTA,PENTECOSTE,"RUA CAMPO VELHO, 18, SERROTA, PENTECOSTE",-3.8579326,-39.3375953
989,COMETA (CASTELO BRANCO),COMETA,,AVENIDA PRES CASTELO BRANCO,5211,BARRA DO CEARA,FORTALEZA,"AVENIDA PRES CASTELO BRANCO, 5211, BARRA DO CEARA, FORTALEZA",-3.7049139,-38.5780082
994,SAO MATHEUS,,,VILA PADRE ANCHIETA,7101,PADRE ANCHIETA,TRAIRI,"VILA PADRE ANCHIETA, 7101, PADRE ANCHIETA, TRAIRI",-3.423078,-39.2911099
996,MERCADINHO RIGO,,,RUA ASTOLFO RIBEIRO DA CUNHA,1923,CRUZEIRO,ITAPIPOCA,"RUA ASTOLFO RIBEIRO DA CUNHA, 1923, CRUZEIRO, ITAPIPOCA",-3.4891111,-39.5786631
1003,SUPERMERCADO PIONEIRO,,SUPERMERCADO PIONEIRO,TRAVESSA ALFREDO PINTO DE MESQUITA,177,CENTRO,TEJUCUOCA,"TRAVESSA ALFREDO PINTO DE MESQUITA, 177, CENTRO, TEJUCUOCA",-3.9883363,-39.5770569
1004,COMETA (WALDIR DIOGO),COMETA,,RUA WALDIR DIOGO,1138,NOVO MONDUBIM,FORTALEZA,"RUA WALDIR DIOGO, 1138, NOVO MONDUBIM, FORTALEZA",-3.8009513,-38.586656
1006,COMETA (FREI CIRILO),COMETA,,AVENIDA FREI CIRILO,4027,MESSEJANA,FORTALEZA,"AVENIDA FREI CIRILO, 4027, MESSEJANA, FORTALEZA",-3.8194034,-38.4963739
1011,COMETA (MARACANAU),COMETA,,RUA CAP VALDEMAR DE LIMA,140,BOA VISTA,MARACANAU,"RUA CAP VALDEMAR DE LIMA, 140, BOA VISTA, MARACANAU",-3.8819005,-38.62523
1017,MERCADINHO O MIMI,,,AVENIDA ANASTACIO BRAGA,4845,ENCRUZILHADA,ITAPIPOCA,"AVENIDA ANASTACIO BRAGA, 4845, ENCRUZILHADA, ITAPIPOCA",-3.4868783,-39.6118767
1021,PANIFICADORA DELIPAN,,,AVENIDA SALVADOR MARTINS,349,VOLTA DO S,TRAIRI,"AVENIDA SALVADOR MARTINS, 349, VOLTA DO S, TRAIRI",-3.2701099,-39.2692517
1025,COMETA (JULIO LIMA),COMETA,,RUA DR JULIO LIMA,676,CIDADE DOS FUNCIONARIOS,FORTALEZA,"RUA DR JULIO LIMA, 676, CIDADE DOS FUNCIONARIOS, FORTALEZA",-3.7960364,-38.4990562
1034,COMETA (JOSE WALTER 01),COMETA,,AV.JOAO DE ARAUJO LIMA,1042,PREFEITO JOSE WALTER,FORTALEZA,"AV.JOAO DE ARAUJO LIMA, 1042, PREFEITO JOSE WALTER, FORTALEZA",-3.83055313,-38.56049735
1040,MERCADINHO CAXIADO,,,RUA RITA BARBOSA DE LIMA,25,ICARAI,CAUCAIA,"RUA RITA BARBOSA DE LIMA, 25, ICARAI, CAUCAIA",-3.6886175,-38.6576348
1043,COMETA (SERRINHA),COMETA,,AVENIDA DR SILAS MUNGUBA,2965,SERRINHA,FORTALEZA,"AVENIDA DR SILAS MUNGUBA, 2965, SERRINHA, FORTALEZA",-3.787502,-38.547114
1044,SUPERMERCADO PINHEIRO,,SUPERMERCADO PINHEIRO,RUA PEDRO CIPRIANO,SN,CENTRO,SAO LUIS DO CURU,"RUA PEDRO CIPRIANO, SN, CENTRO, SAO LUIS DO CURU",-3.6712194,-39.2356275
1048,BR FRUTAS,,,RUA CESAR CALS,SN,CENTRO,MARCO,"RUA CESAR CALS, SN, CENTRO, MARCO",-3.1240278,-40.1498322
1049,COMETA (OLIVEIRA PAIVA),COMETA,,AVENIDA OLIVEIRA PAIVA,1881,PARQUE MANIBURA,FORTALEZA,"AVENIDA OLIVEIRA PAIVA, 1881, PARQUE MANIBURA, FORTALEZA",-3.7955137,-38.4901664
1050,MERCADINHO DANIELLY,,,RUA MAJOR JOAO MARTINS,SN,CENTRO,SAO LUIS DO CURU,"RUA MAJOR JOAO MARTINS, SN, CENTRO, SAO LUIS DO CURU",-3.6726197,-39.2399271
1051,MERCADINHO C E G,,,RUA JOSE ROUDAO DA SILVA (RUA ESCURA),181,POCO DOCE,PARACURU,"RUA JOSE ROUDAO DA SILVA (RUA ESCURA), 181, POCO DOCE, PARACURU",-3.4429617,-39.1073454
1057,PANIFICADORA PINHO,,,RUA CAIO PRADO,2136,VIOLETE,ITAPIPOCA,"RUA CAIO PRADO, 2136, VIOLETE, ITAPIPOCA",-3.489918,-39.574781
1058,COMETA (VIRGILIO TAVORA),COMETA,,AVENIDA SEN VIRGILIO TAVORA,847,MEIRELES,FORTALEZA,"AVENIDA SEN VIRGILIO TAVORA, 847, MEIRELES, FORTALEZA",-3.7344387,-38.4922603
1063,MERCADINHO ESTRELA DO SUL,,,RUA RODOLFO TOME RAMOS,70,CANAA,TRAIRI,"RUA RODOLFO TOME RAMOS, 70, CANAA, TRAIRI",-3.2176177,-39.3676711
1064,MERCADINHO MARANHAO,,,RUA MANOEL DE CASTRO,36,MARANHAO,ITAPIPOCA,"RUA MANOEL DE CASTRO, 36, MARANHAO, ITAPIPOCA",-3.485571,-39.580729
1073,MERCADINHO CLEMENTE,,,AVENIDA ANASTACIO BRAGA,3134,CACIMBAS,ITAPIPOCA,"AVENIDA ANASTACIO BRAGA, 3134, CACIMBAS, ITAPIPOCA",-3.492122,-39.6009151
1074,MERCADINHO CHIQUINHO DAS FRUTAS,,,AVENIDA MIGUEL DE PAIVA,95,CENTRO,PARAIPABA,"AVENIDA MIGUEL DE PAIVA, 95, CENTRO, PARAIPABA",-3.4384756,-39.1495512
1075,IRMAOS BRAGA,,,RUA MANOEL TEIXEIRA,93,CENTRO,TRAIRI,"RUA MANOEL TEIXEIRA, 93, CENTRO, TRAIRI",-3.277673,-39.2657315
1079,MERCANTIL GERRY,,,RUA JOSE DO PATROCINIO,406,BOA VISTA,ITAPIPOCA,"RUA JOSE DO PATROCINIO, 406, BOA VISTA, ITAPIPOCA",-3.5032418,-39.5801853
1087,COMERCIO DO VALDIR,,,RUA FRANCISCO DE CASTRO,810,SAO SEBASTIAO,AMONTADA,"RUA FRANCISCO DE CASTRO, 810, SAO SEBASTIAO, AMONTADA",-3.3578678,-39.8343754
1105,MERCADINHO MARLI,,,RUA ANTONIO RODRIGUES TEIXEIRA,630,CRUZEIRO,ITAPIPOCA,"RUA ANTONIO RODRIGUES TEIXEIRA, 630, CRUZEIRO, ITAPIPOCA",-3.4881788,-39.5844088
1106,MERCAD LUIZ BITA,,,RUA QUINTINO CUNHA,528,CRUZEIRO,ITAPAJE,"RUA QUINTINO CUNHA, 528, CRUZEIRO, ITAPAJE",-3.687708,-39.5885395
1121,COMERCIAL PEDRO FILHO,,PEDRO FILHO,RUA VICENTE ALVES,104,CENTRO,APUIARES,"RUA VICENTE ALVES, 104, CENTRO, APUIARES",-3.94659403,-39.43066344
1140,MERCADINHO O NANE,,,RUA TENENTE JOSE VICENTE,3239,NOVA ALDEOTA,ITAPIPOCA,"RUA TENENTE JOSE VICENTE, 3239, NOVA ALDEOTA, ITAPIPOCA",-3.4836492,-39.5678591
1142,SUPERMERCADO CRISOSTOMO - LJ 01,REDE INTEGRADA,CRISOSTOMO,RODOVIA RAIMUNDO PESSOA DE ARAUJO,929,MUCUNA,MARACANAU,"RODOVIA RAIMUNDO PESSOA DE ARAUJO, 929, MUCUNA, MARACANAU",-3.846401,-38.656205
1149,MERCANTIL FONSECA - MATRIZ,MAX REDE,MERCANTIL FONSECA,AVENIDA F (CJ CEARA),124,CONJUNTO CEARA,FORTALEZA,"AVENIDA F (CJ CEARA), 124, CONJUNTO CEARA, FORTALEZA",-3.7631578,-38.6087315
1154,MERCADINHO LUCAS,,,RUA EUBIA BARROSO,2385,BOA VISTA,ITAPIPOCA,"RUA EUBIA BARROSO, 2385, BOA VISTA, ITAPIPOCA",-3.5038213,-39.5813185
1156,MERCADINHO FLECHEIRAS,,,RUA FURTUNATO SEVERIANO COSTA,85,FLECHEIRAS,TRAIRI,"RUA FURTUNATO SEVERIANO COSTA, 85, FLECHEIRAS, TRAIRI",-3.2220426,-39.2668477
1166,MERCADINHO FRANCISCA,,,RUA DO GRUPO,SN,MUNDAU,TRAIRI,"RUA DO GRUPO, SN, MUNDAU, TRAIRI",-3.1831997,-39.3765242
1171,SUPER BIG PREA,,,AVENIDA FRANCISCO XAVIER CHAVES,800,PREA,CRUZ,"AVENIDA FRANCISCO XAVIER CHAVES, 800, PREA, CRUZ",-2.8193698,-40.4142838
1179,PONTO DA ECONOMIA,,,RUA GOVERNADOR RAUL BARBOSA,SN,COQUERINHO,MARCO,"RUA GOVERNADOR RAUL BARBOSA, SN, COQUERINHO, MARCO",-3.1179662,-40.1473733
1182,COMERCIAL DO MANIN,,,RUA DA PRAIA,5,MUNDAU,TRAIRI,"RUA DA PRAIA, 5, MUNDAU, TRAIRI",-3.1808859,-39.3734641
1193,COMERCIAL ADEMAR,,,AVENIDA MARIA MOREIRA,87,CENTRO,PARAIPABA,"AVENIDA MARIA MOREIRA, 87, CENTRO, PARAIPABA",-3.4400093,-39.1486676
1203,MERCADINHO ICARO,,,RUA DO FOGO,21,MUNDAU,TRAIRI,"RUA DO FOGO, 21, MUNDAU, TRAIRI",-3.1808859,-39.3734641
1206,DESTAK GRANEL,,,RUA CORONEL PORFIRIO,252,CENTRO,IPU,"RUA CORONEL PORFIRIO, 252, CENTRO, IPU",-4.3250958,-40.7107682
1213,MERCADINHO FILE,,,RUA SEBASTIAO MATIAS,288,DOS PICOS,ITAPIPOCA,"RUA SEBASTIAO MATIAS, 288, DOS PICOS, ITAPIPOCA",-3.5140772,-39.5600062
1220,MERCADINHO O LUCIANO,,,AVENIDA MANOEL SALES,166,CENTRO,ITAREMA,"AVENIDA MANOEL SALES, 166, CENTRO, ITAREMA",-2.924812,-39.9129203
1226,MERCANTIL NOVO BOX LTDA,REDE EXATA,,AVENIDA PASTEUR,715,CRISTO REDENTOR,FORTALEZA,"AVENIDA PASTEUR, 715, CRISTO REDENTOR, FORTALEZA",-3.7123457,-38.5589927
1230,VITORIA REAL,REDE UNIFORCA,VITORIA REAL,RUA 337,130,NOVA METROPOLE,CAUCAIA,"RUA 337, 130, NOVA METROPOLE, CAUCAIA",-3.7716837,-38.6552574
1235,MERCADINHO ADAUTO,,,RUA DO GRUPO,26,MUNDAU,TRAIRI,"RUA DO GRUPO, 26, MUNDAU, TRAIRI",-3.1826378,-39.3737853
1241,MECADINHO SOL NACENTE,,,AVENIDA VICENTE SIEBRA,1867,COQUEIRO,ITAPIPOCA,"AVENIDA VICENTE SIEBRA, 1867, COQUEIRO, ITAPIPOCA",-3.4902054,-39.5757507
1247,MERCADINHO VALERIANO,,,RUA JOSE ARIMATEIA,967,NOVO HORIZONTE,ITAPIPOCA,"RUA JOSE ARIMATEIA, 967, NOVO HORIZONTE, ITAPIPOCA",-3.4944927,-39.5938588
1250,SACOLAO DAS FRUTAS - ITAPIPOCA,,,RUA MOESIO LOYOLA,418,CACIMBAS,ITAPIPOCA,"RUA MOESIO LOYOLA, 418, CACIMBAS, ITAPIPOCA",-3.495193,-39.5991148
1265,MERCADINHO DEHOM,,,RUA CURRAL VELHO,430,ZONA RURAL,ACARAU,"RUA CURRAL VELHO, 430, ZONA RURAL, ACARAU",-2.8979192,-40.1192177
1274,MERCADINHO PICOS,,,RUA SEBASTIAO MATIAS,766,DOS PICOS,ITAPIPOCA,"RUA SEBASTIAO MATIAS, 766, DOS PICOS, ITAPIPOCA",-3.5140986,-39.5599289
1284,MERCADINHO WESLEY,,,VILA MIRANDA,SN,TRIANGULO DO MARCO,TRAIRI,"VILA MIRANDA, SN, TRIANGULO DO MARCO, TRAIRI",-3.2781568,-39.2684582
1285,PADARIA KIPAO,,,AVENIDA D,342,VILA VELHA,FORTALEZA,"AVENIDA D, 342, VILA VELHA, FORTALEZA",-3.7144614,-38.6021725
1298,MERCADINHO MARCELIA,,,RUA JOSE VIANA FREIRE,1083,LADEIRA,ITAPIPOCA,"RUA JOSE VIANA FREIRE, 1083, LADEIRA, ITAPIPOCA",-3.5090356,-39.5840994
1305,MERCADINHO BOM JESUS,,,RUA MANOEL TEIXEIRA,647,CENTRO,TRAIRI,"RUA MANOEL TEIXEIRA, 647, CENTRO, TRAIRI",-3.2768395,-39.2680668
1315,MERCAD EDIVALDO PACHECO,,,RUA EUBIA BARROSO,1612,LADEIRA,ITAPIPOCA,"RUA EUBIA BARROSO, 1612, LADEIRA, ITAPIPOCA",-3.509806,-39.583148
1316,MERCADINHO TIMORE,,,RUA DA PRAIA,10,MUNDAU,TRAIRI,"RUA DA PRAIA, 10, MUNDAU, TRAIRI",-3.1808859,-39.3734641
1326,COMERCIAL CHICO PINHO,,,RUA DA PALHA,SN,ALTO SAO FRANCISCO,TRAIRI,"RUA DA PALHA, SN, ALTO SAO FRANCISCO, TRAIRI",-3.2848244,-39.2650365
1359,SACOLAO DAS FRUTAS - AMONTADA,,,AVENIDA GENERAL ALIPIO SANTOS,702,CENTRO,AMONTADA,"AVENIDA GENERAL ALIPIO SANTOS, 702, CENTRO, AMONTADA",-3.3605729,-39.8330925
1369,MERCADINHO ANA LUIZA,,,AVENIDA GOVERNADOR CESAR CALS,12,ALTO SAO FRANCISCO,TRAIRI,"AVENIDA GOVERNADOR CESAR CALS, 12, ALTO SAO FRANCISCO, TRAIRI",-3.2839786,-39.263977
1372,MERCD RIBAMAR,,,RUA WALTER BRASILEIRO,25,VILA ESPERANCA,SAO GONCALO DO AMARANTE,"RUA WALTER BRASILEIRO, 25, VILA ESPERANCA, SAO GONCALO DO AMARANTE",-3.616595,-38.968409
1392,COMERCIAL BARROS,,,PRACA CORONEL ANTONIO BELO,583,CENTRO,AMONTADA,"PRACA CORONEL ANTONIO BELO, 583, CENTRO, AMONTADA",-3.359671,-39.8337477
1394,MK MERCANTIL - CRUZ,,MK MERCANTIL,TRAVESSA DUCA SILVEIRA,71,CENTRO,CRUZ,"TRAVESSA DUCA SILVEIRA, 71, CENTRO, CRUZ",-2.9164299,-40.1737092
1405,MERCADINHO SAO FRANCISCO,,,RUA SANTO ANTONIO,650,OUTRA BANDA,ACARAU,"RUA SANTO ANTONIO, 650, OUTRA BANDA, ACARAU",-2.8979106,-40.119242
1409,SUPERMERCADO LUANDA - LJ 02,,LUANDA MERCADINHO,AVENIDA ANTONIO SALES,546,CENTRO,PARACURU,"AVENIDA ANTONIO SALES, 546, CENTRO, PARACURU",-3.4144878,-39.0326678
1419,J&L SUPERMERCADOS - PARACURU,REDE CEARENSE,SUPERMERCADO J&L,RUA CAPITAO JOSE TELES,700,CENTRO,PARACURU,"RUA CAPITAO JOSE TELES, 700, CENTRO, PARACURU",-3.4094051,-39.0243504
1420,MECADINHO O ALISON,,,RUA JOAQUIM LIVINO,127,PAULO VIEIRA DE MESQUITA,ITAPAJE,"RUA JOAQUIM LIVINO, 127, PAULO VIEIRA DE MESQUITA, ITAPAJE",-3.6911142,-39.5865425
1430,MERCADINHO ZE WILSON,,,RUA SANTOS DUMONT,1972,TABAPUAZINHO,CAUCAIA,"RUA SANTOS DUMONT, 1972, TABAPUAZINHO, CAUCAIA",-3.7379616,-38.617816
1434,SUPERMERCADO LUANDA - LJ 03,,LUANDA MERCADINHO,RODOVIA CE 341,1213,BOI MORTO,PARACURU,"RODOVIA CE 341, 1213, BOI MORTO, PARACURU",-3.4407596,-39.0391688
1442,PADARIA PAO DE LO,,,RUA SAO PEDRO,74,FLECHEIRAS,TRAIRI,"RUA SAO PEDRO, 74, FLECHEIRAS, TRAIRI",-3.2112655,-39.2677415
1450,SUPERMERCADO MAR & SOL,REDE POUPE MAX,SUPERMERCADO MAR & SOL,AVENIDA CENTRAL,5452,ICARAI,CAUCAIA,"AVENIDA CENTRAL, 5452, ICARAI, CAUCAIA",-3.67349324,-38.66970537
1464,STAR PAES,,,RUA JOSE AIRTON TEIXEIRA,590,ESTACAO,ITAPIPOCA,"RUA JOSE AIRTON TEIXEIRA, 590, ESTACAO, ITAPIPOCA",-3.4960521,-39.5826226
1467,PADARIA PAO & CIA,,,AVENIDA JOAO BATISTA RIOS,1423,CENTRO,ITAREMA,"AVENIDA JOAO BATISTA RIOS, 1423, CENTRO, ITAREMA",-2.9206568,-39.9172247
1482,COMETA (JOSE LEON),COMETA,,AVENIDA JOSE LEON,1120,CIDADE DOS FUNCIONARIOS,FORTALEZA,"AVENIDA JOSE LEON, 1120, CIDADE DOS FUNCIONARIOS, FORTALEZA",-3.7882169,-38.50204381
1497,COMERCIAL O BINGA,,,RUA AFONSO FONTES,SN,CENTRO,ITAREMA,"RUA AFONSO FONTES, SN, CENTRO, ITAREMA",-2.9233624,-39.9128227
1499,PONTO DO CARTAO,,,AVENIDA MARIA MOREIRA,95,CENTRO,PARAIPABA,"AVENIDA MARIA MOREIRA, 95, CENTRO, PARAIPABA",-3.4405479,-39.1487699
1500,DEDEZINHO HORTFRUT,,,RUA SETE DE SETEMBRO,SN,CENTRO,BELA CRUZ,"RUA SETE DE SETEMBRO, SN, CENTRO, BELA CRUZ",-3.0550978,-40.1671975
1508,MERCADINHO DUAS IRMAS,,,RUA 15 DE OUTUBRO,795,CAPUAN,CAUCAIA,"RUA 15 DE OUTUBRO, 795, CAPUAN, CAUCAIA",-3.7295241,-38.6967758
1513,MERCADINHO CLEALDO,,,RUA COSMO MENDES COELHO,SN,ITAMARATY,URUBURETAMA,"RUA COSMO MENDES COELHO, SN, ITAMARATY, URUBURETAMA",-3.6316729,-39.4989192
1529,MERCANTIL VASCONCELOS,REDE CEARENSE,MERCANTIL VASCONCELOS,AVENIDA ANTONIO BRASILEIRO,863,PECEM,SAO GONCALO DO AMARANTE,"AVENIDA ANTONIO BRASILEIRO, 863, PECEM, SAO GONCALO DO AMARANTE",-3.5538062,-38.8318771
1531,PANIFICADORA 3 IRMAOS,,,RUA JOSE SEBASTIAO DE SOUSA,2467,MARANHAO,ITAPIPOCA,"RUA JOSE SEBASTIAO DE SOUSA, 2467, MARANHAO, ITAPIPOCA",-3.4846501,-39.5806907
1532,MERCADINHO MARCELO,,,R. MANOEL RAIMUNDO NASCIMENTO,SN,ZONA RURAL,ACARAU,"R. MANOEL RAIMUNDO NASCIMENTO, SN, ZONA RURAL, ACARAU",-3.00995042,-40.12851265
1537,J M SUPERMERCADO,,ATACADAO DO VALE,AVENIDA TENENTE ALBANO,1479,CENTRO,CRUZ,"AVENIDA TENENTE ALBANO, 1479, CENTRO, CRUZ",-2.9157323,-40.1751696
1540,MERCADINHO SAO MATEUS,,,RUA ELIEZER GOES,1296,METROPOLITANO,CAUCAIA,"RUA ELIEZER GOES, 1296, METROPOLITANO, CAUCAIA",-3.7420079,-38.6410004
1548,LIVIA PAN PANIFICADORA,,,RUA ELIEZER GOES,367,METROPOLITANO,CAUCAIA,"RUA ELIEZER GOES, 367, METROPOLITANO, CAUCAIA",-3.7420764,-38.6411245
1551,MERCANTIL PEDRO DUTRA,,,RUA HUMAITA,113,CENTRO,BELA CRUZ,"RUA HUMAITA, 113, CENTRO, BELA CRUZ",-3.0535818,-40.1665184
1553,MERCADINHO DA RAIMUNDA,,,TRAVESSA SAO JOSE,32,TABAPUA,CAUCAIA,"TRAVESSA SAO JOSE, 32, TABAPUA, CAUCAIA",-3.7418233,-38.6235276
1577,MERCADINHO GIFONE,,,RUA DR FRANCISCO ODEN SILVA,10,BAILARINA,ACARAU,"RUA DR FRANCISCO ODEN SILVA, 10, BAILARINA, ACARAU",-2.9221514,-40.1202213
1587,PONTO DAS FRUTAS,,,AVENIDA JOAO JAIME FERREIRA GOMES,617,CENTRO,ACARAU,"AVENIDA JOAO JAIME FERREIRA GOMES, 617, CENTRO, ACARAU",-2.8879852,-40.119545
1596,MERCANTIL AGUIA DA SERRA,,,TRAVESSA JOAQUIM AVILA,116,CENTRO,URUBURETAMA,"TRAVESSA JOAQUIM AVILA, 116, CENTRO, URUBURETAMA",-3.623865,-39.5092686
1603,SJ MERCANTIL,,,VILA TRIANGULO,SN,TRIANGULO DO MARCO,MARCO,"VILA TRIANGULO, SN, TRIANGULO DO MARCO, MARCO",-3.12579653,-40.08448464
1607,MERCADINHO SAO JOSE,,,RUA PROJETADA 2,2,CORACAO DE JESUS,MARCO,"RUA PROJETADA 2, 2, CORACAO DE JESUS, MARCO",-3.1202658,-40.1574755
1615,MERCANTIL MATEUS,,,RUA CAPITAO MIGUEL LOPES,1363,CHAPADINHA,BELA CRUZ,"RUA CAPITAO MIGUEL LOPES, 1363, CHAPADINHA, BELA CRUZ",-3.053641,-40.1700068
1616,MERCADINHO 3 G,,,RUA 18 (CJ VILA SANTO SATIRO),53,ACARACUZINHO,MARACANAU,"RUA 18 (CJ VILA SANTO SATIRO), 53, ACARACUZINHO, MARACANAU",-3.8525403,-38.6116109
1617,MERCADINHO O MARCIANO,,,RUA JOAO MARTINS TEIXEIRA,112,BARATEIRO,ITAPAJE,"RUA JOAO MARTINS TEIXEIRA, 112, BARATEIRO, ITAPAJE",-3.6927925,-39.6015367
1631,MERCADINHO FON FONTELES,,,RUA PARCIAL BARROSO,SN,CORACAO DE JESUS,MARCO,"RUA PARCIAL BARROSO, SN, CORACAO DE JESUS, MARCO",-3.1215709,-40.1533769
